date,epoch_time,blink_speed,blink_strength,eye_move_up,eye_move_down,eye_move_left,eye_move_right,acc_x,acc_y,acc_z,roll,pitch,yaw,is_walking,fit_error,power_left,event,segment,app_state
2016-06-14_13-24-45,1465903485.08017,0,0,0,0,0,0,-1,4,-15,-7.790000,15.640000,160.100006,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.11757,0,0,0,0,0,0,-1,4,-15,-7.830000,15.700000,159.990005,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.15508,0,0,0,0,0,0,-1,5,-15,-7.830000,15.670000,159.889999,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.22970,0,0,0,0,0,0,-1,4,-15,-7.800000,15.660000,159.839996,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.26717,0,0,0,0,0,0,-1,4,-15,-7.840000,15.720000,159.830002,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.30484,0,0,0,0,0,0,-1,4,-15,-7.890000,15.820000,159.860001,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.38017,0,0,0,0,0,0,-1,5,-15,-7.860000,15.880000,159.839996,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.41768,0,0,0,0,0,0,-1,5,-15,-7.890000,15.920000,159.789993,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.45530,0,0,0,0,0,0,-1,5,-15,-7.810000,15.850000,159.669998,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.53036,0,0,0,0,0,0,-1,4,-14,-7.730000,15.720000,159.559998,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.60457,0,0,0,0,0,0,-1,4,-15,-7.660000,15.560000,159.429993,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.60673,0,0,0,1,0,0,-1,4,-15,-7.630000,15.420000,159.309998,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.68018,0,0,0,0,0,0,-1,4,-15,-7.600000,15.280000,159.259995,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.71757,0,0,0,0,0,0,-1,4,-15,-7.580000,15.080000,159.220001,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.75509,0,0,0,0,0,0,-1,4,-15,-7.640000,14.920000,159.210007,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.83021,0,0,0,0,0,0,-1,4,-15,-7.700000,14.860000,159.229996,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.86765,0,0,0,0,0,0,-1,4,-15,-7.750000,14.790000,159.270004,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.90510,0,0,0,0,0,0,-1,4,-15,-7.790000,14.660000,159.259995,0,0,5,0,0,0
2016-06-14_13-24-45,1465903485.98014,0,0,0,0,0,0,-1,4,-15,-7.820000,14.490000,159.210007,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.01758,0,0,0,0,0,0,-1,4,-14,-7.800000,14.370000,159.059998,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.05514,0,0,0,0,0,0,-1,4,-15,-7.830000,14.250000,158.940002,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.13042,0,0,0,0,0,0,-1,4,-15,-7.740000,14.190000,158.779999,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.16759,0,0,0,0,0,0,-1,4,-15,-7.670000,14.190000,158.610001,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.20509,0,0,0,0,0,0,-1,4,-15,-7.550000,14.280000,158.309998,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.28021,0,0,0,0,0,0,-1,4,-15,-7.390000,14.360000,157.779999,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.31758,0,0,0,0,0,0,-1,4,-15,-7.230000,14.350000,157.149994,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.35508,0,0,0,0,0,0,-1,4,-15,-7.150000,14.390000,156.639999,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.43070,0,0,0,0,0,0,-1,4,-15,-7.170000,14.480000,156.360001,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.46827,0,0,0,0,0,0,-1,4,-15,-7.230000,14.640000,156.339996,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.50569,0,0,0,0,0,0,-1,4,-15,-7.300000,14.780000,156.449997,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.58022,0,0,0,0,0,0,-1,4,-15,-7.390000,14.770000,156.559998,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.61759,0,0,0,0,0,0,-1,4,-15,-7.490000,14.660000,156.589996,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.65513,0,0,0,0,0,0,-1,4,-15,-7.560000,14.600000,156.559998,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.73040,0,0,0,0,0,0,-1,4,-15,-7.620000,14.520000,156.559998,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.76759,0,0,0,0,0,0,-1,4,-15,-7.580000,14.440000,156.580002,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.84262,0,0,0,0,0,0,-1,4,-15,-7.550000,14.390000,156.610001,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.88021,0,0,0,1,0,1,-1,4,-15,-7.600000,14.360000,156.600006,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.91759,0,0,0,0,0,0,-1,4,-15,-7.730000,14.310000,156.589996,0,0,5,0,0,0
2016-06-14_13-24-46,1465903486.95511,0,0,0,0,0,0,-1,4,-15,-7.810000,14.240000,156.600006,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.03025,0,0,0,0,0,0,-1,4,-15,-7.860000,14.280000,156.660004,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.10459,0,0,0,0,0,0,-1,4,-15,-7.870000,14.400000,156.850006,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.10685,0,0,0,1,0,0,-1,4,-15,-7.900000,14.550000,157.270004,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.18021,0,0,0,0,0,0,-1,4,-15,-7.860000,14.590000,157.639999,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.25454,0,0,0,0,0,0,-1,4,-15,-7.770000,14.490000,157.860001,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.25669,0,0,0,0,0,0,-1,4,-15,-7.570000,14.390000,158.050003,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.33025,0,0,0,0,0,0,-1,4,-15,-7.370000,14.280000,158.190002,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.36781,0,0,0,0,0,1,-1,4,-15,-7.220000,14.190000,158.050003,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.40511,0,0,0,0,0,0,-1,4,-15,-7.170000,14.220000,157.779999,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.48028,0,0,0,0,0,0,-1,4,-15,-7.160000,14.290000,157.529999,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.51760,0,0,0,0,0,0,-1,4,-15,-7.140000,14.410000,157.339996,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.55543,0,0,0,0,0,0,-1,4,-15,-7.110000,14.510000,157.229996,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.63028,0,0,0,0,0,0,-1,4,-15,-7.080000,14.570000,157.139999,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.66780,0,0,0,0,0,0,-1,4,-15,-7.140000,14.630000,156.960007,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.70510,0,0,0,0,0,0,-1,4,-15,-7.370000,14.660000,156.660004,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.78029,0,0,0,0,0,0,-1,4,-15,-7.720000,14.560000,156.399994,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.81761,0,0,0,0,0,0,0,4,-15,-7.910000,14.340000,156.080002,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.85532,0,0,0,0,0,0,0,4,-15,-8.060000,14.150000,155.679993,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.93030,0,0,0,0,0,0,0,4,-15,-8.190000,14.000000,155.339996,0,0,5,0,0,0
2016-06-14_13-24-47,1465903487.96791,0,0,0,0,0,0,0,4,-15,-8.150000,14.110000,155.199997,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.00517,0,0,0,0,0,0,-1,4,-15,-7.950000,14.400000,155.139999,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.08024,0,0,0,0,0,0,-1,4,-14,-7.670000,14.610000,154.789993,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.11772,0,0,0,0,0,0,-1,4,-15,-7.420000,14.620000,154.270004,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.15531,0,0,0,0,0,0,-1,5,-14,-7.010000,14.710000,153.759995,0,0,5,0,0,0
2016-06-14_13-24-48,1465903488.23027,0,0,0,0,0,0,-1,5,-15,-6.870000,14.950000,153.770004,0,0,5,0,0,0
